event_id,decline_code,retry_count,hours_since_failure,day_of_month,customer_tenure_months,subscription_value,prior_recovery_outcome,action,true_p_success,outcome
evt_000000_16d92687,insufficient_funds,2,3.4,24,2,2499.0,recovered,escalate_human,0.5073668160007838,1
evt_000001_c93b82a2,issuer_unavailable,0,13.1,25,5,499.0,none,voice_call,0.7751765043796686,1
evt_000002_e34cbfae,do_not_honor,1,15.0,2,3,2499.0,recovered,voice_call,0.02539450392504494,0
evt_000003_c744240e,issuer_unavailable,0,2.2,24,5,2499.0,none,voice_call,0.7733048283677638,1
evt_000004_138b3a1e,insufficient_funds,0,3.9,15,11,999.0,none,retry_later,0.48447168752779185,1
evt_000005_d52a65f3,insufficient_funds,2,16.3,27,4,999.0,none,nudge_sms,0.42042497810349433,0
evt_000006_ce0dde46,expired_card,1,47.9,1,7,499.0,none,retry_now,0.07516010948212662,0
evt_000007_23c9bc6e,expired_card,0,18.1,3,26,499.0,none,escalate_human,0.8209332885593084,1
evt_000008_9a539b6d,insufficient_funds,0,18.1,1,25,199.0,none,escalate_human,0.9168273035060777,1
evt_000009_4808c654,expired_card,1,9.0,31,4,999.0,none,voice_call,0.6058736684317606,1
evt_000010_1b2c2909,expired_card,0,4.6,3,12,199.0,none,nudge_whatsapp,0.6324364294119305,1
evt_000011_72374c33,insufficient_funds,1,3.7,30,7,2499.0,churned,retry_now,0.5473576181430893,0
evt_000012_75194ff7,stolen_card,2,8.7,9,13,499.0,none,nudge_whatsapp,0.014846987339556741,0
evt_000013_e710f35d,insufficient_funds,0,11.6,17,9,999.0,recovered,retry_later,0.476251653609773,0
evt_000014_4f04d04b,issuer_unavailable,1,1.5,20,5,199.0,none,retry_later,0.7785324850296578,1
evt_000015_5471c8ce,insufficient_funds,1,9.7,10,5,499.0,none,stop,0.0,0
evt_000016_4b74ef50,stolen_card,0,16.8,1,3,499.0,none,nudge_whatsapp,0.01536770556527555,0
evt_000017_f0156500,issuer_unavailable,0,9.0,17,8,199.0,recovered,nudge_whatsapp,0.6370596380185244,0
evt_000018_8af6b75c,issuer_unavailable,0,33.4,5,5,999.0,recovered,stop,0.0,0
evt_000019_c4c614fe,insufficient_funds,3,11.8,8,6,499.0,recovered,retry_now,0.14255376568216127,0
evt_000020_f6950d94,stolen_card,0,25.6,10,7,1499.0,none,nudge_whatsapp,0.01536770556527555,0
evt_000021_0b7f4328,stolen_card,2,17.0,27,15,499.0,none,stop,0.0,0
evt_000022_05a94654,expired_card,0,1.1,24,17,499.0,churned,stop,0.0,0
evt_000023_3db03f61,insufficient_funds,2,6.9,24,4,1499.0,none,retry_later,0.34009678042406083,0
evt_000024_ff7ec0f6,stolen_card,1,2.4,25,1,199.0,none,retry_now,0.014379043799739054,0
evt_000025_ad7b09f0,issuer_unavailable,1,34.4,13,21,999.0,recovered,retry_later,0.828305189239668,1
evt_000026_6f0fde02,stolen_card,0,7.8,4,11,999.0,churned,nudge_whatsapp,0.01536770556527555,0
evt_000027_49548a37,insufficient_funds,1,15.6,27,3,499.0,churned,retry_now,0.3154052402996127,0
evt_000028_2e74b3a9,do_not_honor,0,51.6,29,1,199.0,recovered,retry_later,0.024843544141003683,0
evt_000029_cbfc3466,issuer_unavailable,1,9.9,24,13,499.0,none,voice_call,0.7382836963728165,1
evt_000030_f66dedad,issuer_unavailable,0,12.3,27,7,999.0,none,stop,0.0,0
evt_000031_110a0050,issuer_unavailable,0,5.7,10,2,1499.0,none,nudge_sms,0.5621660189116524,1
evt_000032_93d1830c,insufficient_funds,0,1.4,5,1,499.0,none,escalate_human,0.70869119538379,1
evt_000033_64c4f731,issuer_unavailable,2,6.6,17,2,199.0,none,retry_now,0.6088842770924164,1
evt_000034_f2e73c49,insufficient_funds,0,18.8,13,1,999.0,none,nudge_sms,0.41454682104929935,0
evt_000035_ecc26fcc,do_not_honor,3,27.1,10,17,499.0,recovered,escalate_human,0.025518546137680318,0
evt_000036_d3785524,issuer_unavailable,2,9.2,17,5,499.0,none,retry_now,0.6230759576431537,1
evt_000037_23c7dcd1,insufficient_funds,0,3.5,16,15,499.0,none,nudge_sms,0.47947822734532014,0
evt_000038_caf1cad0,do_not_honor,0,7.7,30,8,999.0,none,retry_later,0.024843544141003683,0
evt_000039_cdec9f71,issuer_unavailable,0,15.6,2,3,1499.0,none,retry_later,0.8459660586002888,1
evt_000040_a2df4231,expired_card,0,18.6,3,3,2499.0,recovered,nudge_sms,0.5405813934929747,0
evt_000041_97fb8b38,expired_card,3,8.9,23,1,499.0,none,voice_call,0.3750515679818213,0
evt_000042_0202b239,issuer_unavailable,1,25.1,18,28,499.0,none,retry_now,0.7881254841184406,1
evt_000043_ee657f78,insufficient_funds,0,23.7,23,16,999.0,none,nudge_sms,0.5260381084982347,0
evt_000044_d12e66db,insufficient_funds,0,8.0,24,3,199.0,churned,nudge_whatsapp,0.5292508210982304,1
evt_000045_701a7a9d,expired_card,1,52.2,12,6,499.0,churned,escalate_human,0.6626469433259259,0
evt_000046_d8a98868,insufficient_funds,2,41.9,30,3,499.0,none,nudge_whatsapp,0.7426905453026857,1
evt_000047_032644d0,do_not_honor,0,33.8,10,1,1499.0,recovered,nudge_whatsapp,0.025086962153479813,0
evt_000048_6413c1dd,do_not_honor,0,17.0,31,1,2499.0,none,retry_now,0.02389268941058276,0
evt_000049_a66e97cf,do_not_honor,0,3.8,15,27,199.0,churned,retry_later,0.024843544141003683,0
evt_000050_e8d0d529,insufficient_funds,0,11.7,2,74,199.0,recovered,retry_later,0.8558708221367988,1
evt_000051_0ea6c09e,stolen_card,2,27.0,26,2,199.0,none,escalate_human,0.015906391711814714,0
evt_000052_8a32de6c,issuer_unavailable,2,3.0,24,14,199.0,none,retry_now,0.6697527629534448,0
evt_000053_b5bc5071,issuer_unavailable,0,16.6,1,52,999.0,none,retry_now,0.8828810091242195,1
evt_000054_c52f4f45,stolen_card,0,10.5,6,41,499.0,none,retry_later,0.015217121208656299,0
evt_000055_f22ea898,issuer_unavailable,1,6.3,14,1,499.0,none,stop,0.0,0
evt_000056_e9e948e3,insufficient_funds,0,0.3,15,5,499.0,none,nudge_sms,0.42993086379995127,0
evt_000057_a2770dc7,insufficient_funds,0,11.6,19,1,499.0,none,nudge_sms,0.41789197194837435,0
evt_000058_1861c991,issuer_unavailable,1,18.5,18,2,499.0,recovered,nudge_sms,0.47344080380574377,0
evt_000059_8c94b9ef,issuer_unavailable,0,12.4,26,3,1499.0,none,escalate_human,0.8337886009340898,1
evt_000060_44cdbfb7,insufficient_funds,2,7.7,25,3,199.0,recovered,escalate_human,0.5310663910510403,1
evt_000061_0e39b2f0,insufficient_funds,0,7.3,3,1,999.0,recovered,escalate_human,0.7753522751361904,1
evt_000062_b58c8dff,issuer_unavailable,0,11.7,5,25,2499.0,recovered,nudge_sms,0.6797709598883488,0
evt_000063_4f9b2c6a,expired_card,0,21.2,11,5,499.0,none,retry_now,0.08371838109934021,0
evt_000064_6af1e85c,stolen_card,1,7.2,26,5,499.0,none,nudge_sms,0.014810465269792841,0
evt_000065_147e1c1e,insufficient_funds,0,2.8,10,17,199.0,none,retry_later,0.5335981509707869,1
evt_000066_31c3590c,issuer_unavailable,0,2.3,16,8,999.0,none,nudge_whatsapp,0.6368875890927528,0
evt_000067_a62ea1d3,expired_card,0,3.0,24,8,999.0,none,nudge_whatsapp,0.5955764539624776,0
evt_000068_b06c9ae5,issuer_unavailable,3,15.7,27,24,499.0,none,escalate_human,0.7317610597624862,1
evt_000069_880a8dd0,insufficient_funds,3,1.9,13,12,199.0,none,retry_later,0.2544153920928878,1
evt_000070_b0d8442b,insufficient_funds,1,0.4,14,10,999.0,none,voice_call,0.49209396405008893,1
evt_000071_fb57a272,issuer_unavailable,2,12.3,16,53,999.0,recovered,escalate_human,0.8208152581341023,1
evt_000072_81d262da,insufficient_funds,1,22.2,23,6,2499.0,none,escalate_human,0.6000709531582556,0
evt_000073_bbd744e9,insufficient_funds,0,0.3,16,13,2499.0,none,escalate_human,0.6842051460928054,0
evt_000074_3dedea9f,expired_card,0,28.4,13,15,1499.0,recovered,retry_later,0.14229756030654045,0
evt_000075_0976e9df,insufficient_funds,0,13.6,24,19,1499.0,recovered,voice_call,0.6613843380300444,0
evt_000076_61bed80e,insufficient_funds,1,13.5,2,1,499.0,none,nudge_whatsapp,0.6966528765824818,1
evt_000077_079457e1,do_not_honor,1,2.0,13,6,1499.0,none,escalate_human,0.026403509502070335,0
evt_000078_72efd1a0,insufficient_funds,2,12.8,13,1,499.0,recovered,nudge_sms,0.2601478422218685,1
evt_000079_ceb3d674,insufficient_funds,0,2.4,4,41,499.0,churned,voice_call,0.7916716394288897,1
evt_000080_5814bdda,insufficient_funds,0,2.4,5,1,499.0,none,stop,0.0,0
evt_000081_57e203c9,insufficient_funds,3,6.2,16,14,1499.0,none,nudge_whatsapp,0.2784560143868684,0
evt_000082_e41046a0,issuer_unavailable,1,7.3,29,14,499.0,none,nudge_sms,0.5679044067424179,1
evt_000083_528edbc3,do_not_honor,0,1.1,8,6,499.0,none,escalate_human,0.026857118784809644,1
evt_000084_96ca195e,do_not_honor,3,41.0,21,9,499.0,none,nudge_sms,0.023373531597967217,0
evt_000085_a725e78b,issuer_unavailable,0,0.3,30,1,199.0,none,stop,0.0,0
evt_000086_9277e1a9,issuer_unavailable,1,12.7,3,1,199.0,none,escalate_human,0.7812017597439761,1
evt_000087_0f7ecae3,insufficient_funds,0,6.9,8,1,199.0,recovered,nudge_sms,0.4512173618768768,0
evt_000088_1c70a9fb,issuer_unavailable,0,9.7,16,22,999.0,none,retry_later,0.8745586140238036,1
evt_000089_528ebbc8,issuer_unavailable,1,8.7,24,5,199.0,none,nudge_sms,0.4942670154171805,1
evt_000090_30fcca01,insufficient_funds,0,18.8,5,1,199.0,none,retry_later,0.5549853619514187,0
evt_000091_1c523678,insufficient_funds,1,30.2,22,1,1499.0,none,escalate_human,0.5664242493671363,1
evt_000092_e58e5fbf,do_not_honor,0,24.0,24,25,499.0,churned,retry_now,0.02389268941058276,0
evt_000093_5c8da0e1,insufficient_funds,2,12.1,10,6,499.0,none,retry_later,0.3131562480336281,0
evt_000094_bc63a9d9,insufficient_funds,0,39.7,11,30,999.0,none,retry_now,0.4133687420378471,1
evt_000095_e3d850ac,insufficient_funds,0,13.0,2,2,2499.0,none,retry_later,0.750524108415707,1
evt_000096_8da8e4b1,issuer_unavailable,0,32.3,31,19,499.0,none,retry_later,0.8889440332885924,1
evt_000097_45ef9884,issuer_unavailable,0,2.5,31,1,499.0,none,escalate_human,0.8481288363433407,0
evt_000098_d6cab860,issuer_unavailable,1,15.8,8,15,999.0,none,retry_later,0.8129653193867622,0
evt_000099_c227f5b0,insufficient_funds,1,0.2,2,12,499.0,none,escalate_human,0.8010936642062919,0
evt_000100_a84c23e6,expired_card,0,17.3,13,9,199.0,recovered,stop,0.0,0
evt_000101_e99f05cf,insufficient_funds,0,22.4,20,1,499.0,recovered,stop,0.0,0
evt_000102_a71c51fa,expired_card,1,1.8,23,26,1499.0,recovered,nudge_whatsapp,0.5961369033816865,1
evt_000103_19909658,expired_card,0,23.9,31,5,1499.0,none,nudge_sms,0.574442516811659,1
evt_000104_591c76fe,issuer_unavailable,0,7.6,19,42,499.0,none,nudge_sms,0.7160826272419164,1
evt_000105_6090923f,insufficient_funds,0,1.4,2,3,199.0,recovered,nudge_sms,0.7352470601050631,0
evt_000106_58046ff9,insufficient_funds,0,5.6,9,21,499.0,none,retry_now,0.3816092952132782,1
evt_000107_7b430437,expired_card,0,7.5,8,8,999.0,recovered,retry_later,0.12779404855644808,1
evt_000108_1af0003d,stolen_card,3,1.3,31,3,499.0,none,nudge_sms,0.014308354154379218,0
evt_000109_18d38afb,issuer_unavailable,1,4.5,3,3,1499.0,none,retry_later,0.7879618433400776,1
evt_000110_bd64545c,insufficient_funds,0,16.5,10,36,199.0,churned,nudge_sms,0.6021892631535122,0
